timestamp,p1,p2,p3,p4
4386,Infinity,Infinity,Infinity,Infinity
4402,Infinity,Infinity,Infinity,Infinity
4404,Infinity,Infinity,Infinity,Infinity
4408,Infinity,Infinity,Infinity,Infinity
4411,13.835024,10.816654,6.309715,5.408327
4434,13.835024,10.816654,6.309715,5.408327
4437,13.835024,10.816654,6.309715,5.408327
4449,13.835024,10.816654,6.309715,5.408327
4450,13.835024,10.816654,6.309715,5.408327
4459,13.835024,10.816654,6.309715,5.408327
4469,13.835024,10.816654,6.309715,5.408327
4481,13.835024,10.816654,6.309715,5.408327
4492,13.835024,10.816654,6.309715,5.408327
4507,13.835024,10.816654,6.309715,5.408327
4520,13.835024,10.816654,6.309715,5.408327
4528,13.835024,10.816654,6.309715,5.408327
4531,13.835024,10.816654,6.309715,5.408327
4540,13.835024,10.816654,6.309715,5.408327
4550,13.835024,10.816654,6.309715,5.408327
4563,13.835024,10.816654,6.309715,5.408327
4574,13.835024,10.816654,6.309715,5.408327
4593,13.835024,10.816654,6.309715,5.408327
4598,13.835024,10.816654,6.309715,5.408327
4609,13.835024,10.816654,6.309715,5.408327
4612,13.835024,10.816654,6.309715,5.408327
4644,13.835024,10.816654,6.309715,5.408327
4647,13.835024,10.816654,6.309715,5.408327
4650,13.835024,10.816654,6.309715,5.408327
4666,13.835024,10.816654,6.309715,5.408327
4672,13.835024,10.816654,6.309715,5.408327
4691,13.835024,10.816654,6.309715,5.408327
4699,13.835024,10.816654,6.309715,5.408327
4704,13.835024,10.816654,6.309715,5.408327
4736,13.835024,10.816654,6.309715,5.408327
4739,13.835024,10.816654,6.309715,5.408327
4746,13.835024,10.816654,6.309715,5.408327
4752,13.835024,10.816654,6.309715,5.408327
4809,13.835024,10.816654,6.309715,5.408327
4812,13.835024,10.816654,6.309715,5.408327
4818,13.835024,10.816654,6.309715,5.408327
4821,13.835024,10.816654,6.309715,5.408327
4828,13.835024,10.816654,6.309715,5.408327
4830,13.835024,10.816654,6.309715,5.408327
4839,13.835024,10.816654,6.309715,5.408327
4849,13.835024,10.816654,6.309715,5.408327
4851,13.835024,10.816654,6.309715,5.408327
4865,13.835024,10.816654,6.309715,5.408327
4867,13.835024,10.816654,6.309715,5.408327
4871,13.835024,10.816654,6.309715,5.408327
4887,13.835024,10.816654,6.309715,5.408327
4892,13.835024,10.816654,6.309715,5.408327
4896,13.835024,10.816654,6.309715,5.408327
4916,13.835024,10.816654,6.309715,5.408327
4919,13.835024,10.816654,6.309715,5.408327
4927,13.835024,10.816654,6.309715,5.408327
4962,13.835024,10.816654,6.309715,5.408327
4966,13.835024,10.816654,6.309715,5.408327
4967,13.835024,10.816654,6.309715,5.408327
4972,13.835024,10.816654,6.309715,5.408327
4980,13.835024,10.816654,6.309715,5.408327
4983,13.835024,10.816654,6.309715,5.408327
4993,13.835024,10.816654,6.309715,5.408327
4995,13.835024,10.816654,6.309715,5.408327
5003,13.835024,10.816654,6.309715,5.408327
5015,13.835024,10.816654,6.309715,5.408327
5027,13.835024,10.816654,6.309715,5.408327
5028,13.835024,10.816654,6.309715,5.408327
5039,13.835024,10.816654,6.309715,5.408327
5049,13.835024,10.816654,6.309715,5.408327
5074,13.835024,10.816654,6.309715,5.408327
5078,13.835024,10.816654,6.309715,5.408327
5085,13.835024,10.816654,6.309715,5.408327
5097,13.835024,10.816654,6.309715,5.408327
5109,13.835024,10.816654,6.309715,5.408327
5111,13.835024,10.816654,6.309715,5.408327
5119,13.835024,10.816654,6.309715,5.408327
5131,13.835024,10.816654,6.309715,5.408327
5145,13.835024,10.816654,6.309715,5.408327
5160,13.835024,10.816654,6.309715,5.408327
5166,13.835024,10.816654,6.309715,5.408327
